HIV.1_Prot_Name	Human_GeneId	Keywords	evidence.number
integrase	2648	acetylated by(1)/binds(1)	2
integrase	3065	complexes with(2)	2
integrase	3576	interacts with(2)	2
integrase	3837	binds(1)/interacts with(1)	2
integrase	5300	binds(2)	2
integrase	5591	interacts with(2)	2
integrase	6613	interacts with(1)/sumoylated by(1)	2
integrase	7341	interacts with(1)/sumoylated by(1)	2
integrase	7520	associates with(1)/interacts with(1)	2
integrase	8726	binds(1)/interacts with(1)	2
integrase	8815	interacts with(2)	2
integrase	10284	binds(2)	2
integrase	55536	binds(2)	2
integrase	84717	interacts with(2)	2
matrix	58	interacts with(2)	2
matrix	4836	myristoylated by(2)	2
matrix	5478	binds(2)	2
matrix	7097	binds(2)	2
matrix	8726	binds(2)	2
matrix	8815	binds(2)	2
matrix	8943	interacts with(2)	2
matrix	10226	binds(2)	2
matrix	23438	binds(1)/interacts with(1)	2
matrix	24137	binds(1)/interacts with(1)	2
matrix	29789	interacts with(2)	2
Nef	19	interacts with(2)	2
Nef	161	binds(2)	2
Nef	162	binds(1)/interacts with(1)	2
Nef	163	binds(1)/interacts with(1)	2
Nef	207	interacts with(2)	2
Nef	208	interacts with(2)	2
Nef	375	binds(1)/complexes with(1)	2
Nef	684	binds(1)/interacts with(1)	2
Nef	805	interacts with(2)	2
Nef	808	interacts with(2)	2
Nef	916	interacts with(2)	2
Nef	917	interacts with(2)	2
Nef	919	interacts with(2)	2
Nef	942	binds(2)	2
Nef	1025	interacts with(2)	2
Nef	1174	binds(1)/interacts with(1)	2
Nef	1315	binds(1)/interacts with(1)	2
Nef	1499	binds(1)/interacts with(1)	2
Nef	1785	binds(1)/complexes with(1)	2
Nef	1936	complexes with(1)/interacts with(1)	2
Nef	1937	complexes with(1)/interacts with(1)	2
Nef	3123	binds(1)/interacts with(1)	2
Nef	3133	binds(1)/interacts with(1)	2
Nef	3134	binds(1)/interacts with(1)	2
Nef	3135	binds(1)/interacts with(1)	2
Nef	3303	complexes with(1)/interacts with(1)	2
Nef	3304	complexes with(1)/interacts with(1)	2
Nef	3309	complexes with(1)/interacts with(1)	2
Nef	3312	complexes with(1)/interacts with(1)	2
Nef	3329	complexes with(1)/interacts with(1)	2
Nef	3337	interacts with(2)	2
Nef	3458	interacts with(2)	2
Nef	3592	interacts with(2)	2
Nef	3593	interacts with(2)	2
Nef	3702	interacts with(2)	2
Nef	4790	binds(1)/interacts with(1)	2
Nef	5286	complexes with(1)/interacts with(1)	2
Nef	5287	complexes with(1)/interacts with(1)	2
Nef	5288	complexes with(1)/interacts with(1)	2
Nef	5289	complexes with(1)/interacts with(1)	2
Nef	5293	complexes with(1)/interacts with(1)	2
Nef	5578	phosphorylated by(2)	2
Nef	5879	interacts with(2)	2
Nef	6351	interacts with(2)	2
Nef	6598	binds(1)/interacts with(1)	2
Nef	6774	interacts with(2)	2
Nef	6868	interacts with(2)	2
Nef	7157	binds(1)/interacts with(1)	2
Nef	7188	interacts with(2)	2
Nef	7251	associates with(1)/interacts with(1)	2
Nef	7410	binds(2)	2
Nef	8678	interacts with(2)	2
Nef	8812	interacts with(2)	2
Nef	8905	binds(1)/interacts with(1)	2
Nef	8906	binds(1)/interacts with(1)	2
Nef	8943	binds(1)/complexes with(1)	2
Nef	10000	interacts with(2)	2
Nef	10399	binds(1)/complexes with(1)	2
Nef	10527	complexes with(1)/interacts with(1)	2
Nef	11336	binds(1)/interacts with(1)	2
Nef	23241	binds(2)	2
Nef	55763	binds(1)/interacts with(1)	2
Nef	130340	binds(1)/interacts with(1)	2
Nef	345611	interacts with(2)	2
nucleocapsid	58	binds(2)	2
nucleocapsid	59	binds(2)	2
nucleocapsid	60	binds(2)	2
nucleocapsid	70	binds(2)	2
nucleocapsid	71	binds(2)	2
nucleocapsid	72	binds(2)	2
nucleocapsid	2332	associates with(1)/interacts with(1)	2
nucleocapsid	6780	interacts with(2)	2
nucleocapsid	10015	binds(2)	2
nucleocapsid	79720	binds(1)/complexes with(1)	2
nucleocapsid	200316	interacts with(2)	2
p6	10537	ubiquitinated by(2)	2
p6	79720	binds(1)/complexes with(1)	2
p6	89853	binds(1)/complexes with(1)	2
Pol	3735	binds(1)/interacts with(1)	2
Pr55(Gag)	59	interacts with(2)	2
Pr55(Gag)	70	interacts with(2)	2
Pr55(Gag)	72	interacts with(2)	2
Pr55(Gag)	103	associates with(1)/complexes with(1)	2
Pr55(Gag)	476	complexes with(1)/fractionates with(1)	2
Pr55(Gag)	915	interacts with(2)	2
Pr55(Gag)	916	interacts with(2)	2
Pr55(Gag)	917	interacts with(2)	2
Pr55(Gag)	919	interacts with(2)	2
Pr55(Gag)	920	interacts with(2)	2
Pr55(Gag)	960	associates with(2)	2
Pr55(Gag)	1173	binds(1)/complexes with(1)	2
Pr55(Gag)	1267	binds(1)/interacts with(1)	2
Pr55(Gag)	1655	complexes with(1)/interacts with(1)	2
Pr55(Gag)	1660	complexes with(1)/interacts with(1)	2
Pr55(Gag)	1739	interacts with(2)	2
Pr55(Gag)	2316	binds(1)/complexes with(1)	2
Pr55(Gag)	2597	complexes with(1)/interacts with(1)	2
Pr55(Gag)	3010	associates with(1)/interacts with(1)	2
Pr55(Gag)	3916	interacts with(2)	2
Pr55(Gag)	4864	interacts with(2)	2
Pr55(Gag)	5133	interacts with(2)	2
Pr55(Gag)	5335	interacts with(2)	2
Pr55(Gag)	5336	interacts with(2)	2
Pr55(Gag)	6159	complexes with(1)/interacts with(1)	2
Pr55(Gag)	6187	complexes with(1)/interacts with(1)	2
Pr55(Gag)	6188	complexes with(1)/interacts with(1)	2
Pr55(Gag)	6194	complexes with(1)/interacts with(1)	2
Pr55(Gag)	7277	complexes with(1)/interacts with(1)	2
Pr55(Gag)	7846	complexes with(1)/interacts with(1)	2
Pr55(Gag)	8907	interacts with(2)	2
Pr55(Gag)	8943	complexes with(1)/interacts with(1)	2
Pr55(Gag)	9092	complexes with(1)/interacts with(1)	2
Pr55(Gag)	9525	associates with(1)/interacts with(1)	2
Pr55(Gag)	10146	binds(1)/interacts with(1)	2
Pr55(Gag)	10226	binds(2)	2
Pr55(Gag)	10521	complexes with(1)/interacts with(1)	2
Pr55(Gag)	10642	complexes with(1)/interacts with(1)	2
Pr55(Gag)	11113	binds(1)/is polyubiquitinylated by(1)	2
Pr55(Gag)	23041	interacts with(2)	2
Pr55(Gag)	23327	associates with(1)/binds(1)	2
Pr55(Gag)	24137	binds(1)/interacts with(1)	2
Pr55(Gag)	27067	interacts with(2)	2
Pr55(Gag)	27161	associates with(1)/interacts with(1)	2
Pr55(Gag)	27183	associates with(1)/recruited by(1)	2
Pr55(Gag)	27243	interacts with(2)	2
Pr55(Gag)	54843	interacts with(2)	2
Pr55(Gag)	55226	interacts with(2)	2
Pr55(Gag)	57617	interacts with(2)	2
Pr55(Gag)	81631	fractionates with(1)/interacts with(1)	2
Pr55(Gag)	200316	interacts with(2)	2
Rev	1655	interacts with(2)	2
Rev	1660	interacts with(2)	2
Rev	2068	interacts with(2)	2
Rev	2071	interacts with(2)	2
Rev	3190	interacts with(2)	2
Rev	3192	interacts with(2)	2
Rev	3268	binds(2)	2
Rev	3609	interacts with(2)	2
Rev	3842	binds(1)/interacts with(1)	2
Rev	4673	interacts with(2)	2
Rev	4841	associates with(1)/interacts with(1)	2
Rev	4928	interacts with(2)	2
Rev	6741	interacts with(2)	2
Rev	6895	binds(1)/interacts with(1)	2
Rev	8021	interacts with(2)	2
Rev	8125	interacts with(2)	2
Rev	9782	interacts with(2)	2
Rev	10236	binds(1)/interacts with(1)	2
Rev	10492	binds(1)/interacts with(1)	2
Rev	10521	interacts with(2)	2
Rev	10541	interacts with(2)	2
Rev	11097	interacts with(2)	2
Rev	11168	complexes with(1)/interacts with(1)	2
Rev	26986	interacts with(2)	2
Rev	55170	methylated by(2)	2
Rev	57062	interacts with(2)	2
reverse transcriptase	2185	interacts with(2)	2
reverse transcriptase	8655	interacts with(2)	2
reverse transcriptase p51 subunit	1915	interacts with(2)	2
Tat	207	interacts with(2)	2
Tat	208	interacts with(2)	2
Tat	708	binds(2)	2
Tat	836	interacts with(2)	2
Tat	891	binds(1)/complexes with(1)	2
Tat	1654	binds(1)/interacts with(1)	2
Tat	1915	interacts with(2)	2
Tat	2113	associates with(1)/interacts with(1)	2
Tat	2353	interacts with(2)	2
Tat	2902	associates with(1)/interacts with(1)	2
Tat	2903	associates with(1)/interacts with(1)	2
Tat	2905	associates with(1)/interacts with(1)	2
Tat	2906	associates with(1)/interacts with(1)	2
Tat	2963	interacts with(2)	2
Tat	3020	binds(1)/phosphorylates(1)	2
Tat	3189	interacts with(2)	2
Tat	3665	interacts with(2)	2
Tat	3725	binds(1)/interacts with(1)	2
Tat	3791	interacts with(2)	2
Tat	3837	binds(2)	2
Tat	3838	binds(1)/interacts with(1)	2
Tat	4035	binds(2)	2
Tat	4188	binds(2)	2
Tat	4298	complexes with(1)/interacts with(1)	2
Tat	4627	interacts with(2)	2
Tat	4773	binds(1)/interacts with(1)	2
Tat	4792	binds(1)/interacts with(1)	2
Tat	5048	interacts with(2)	2
Tat	5347	complexes with(1)/interacts with(1)	2
Tat	5431	complexes with(2)	2
Tat	5432	complexes with(2)	2
Tat	5433	complexes with(2)	2
Tat	5434	complexes with(2)	2
Tat	5435	complexes with(2)	2
Tat	5436	complexes with(2)	2
Tat	5437	complexes with(2)	2
Tat	5438	complexes with(2)	2
Tat	5439	complexes with(2)	2
Tat	5440	complexes with(2)	2
Tat	5441	complexes with(2)	2
Tat	5501	binds(1)/interacts with(1)	2
Tat	5588	phosphorylated by(2)	2
Tat	5594	interacts with(1)/phosphorylated by(1)	2
Tat	5595	interacts with(1)/phosphorylated by(1)	2
Tat	5608	interacts with(2)	2
Tat	5683	binds(1)/interacts with(1)	2
Tat	5685	binds(1)/interacts with(1)	2
Tat	5687	binds(1)/interacts with(1)	2
Tat	5688	binds(1)/interacts with(1)	2
Tat	5689	binds(1)/interacts with(1)	2
Tat	5690	binds(1)/interacts with(1)	2
Tat	5691	binds(1)/interacts with(1)	2
Tat	5693	binds(1)/interacts with(1)	2
Tat	5694	binds(1)/interacts with(1)	2
Tat	5695	binds(1)/interacts with(1)	2
Tat	5696	binds(1)/interacts with(1)	2
Tat	5699	binds(1)/interacts with(1)	2
Tat	5704	interacts with(2)	2
Tat	5705	interacts with(2)	2
Tat	5725	interacts with(2)	2
Tat	5813	binds(2)	2
Tat	5971	binds(1)/interacts with(1)	2
Tat	6197	interacts with(2)	2
Tat	6383	binds(2)	2
Tat	6385	binds(2)	2
Tat	6387	interacts with(2)	2
Tat	6531	binds(2)	2
Tat	6595	interacts with(2)	2
Tat	6597	binds(1)/interacts with(1)	2
Tat	6598	binds(1)/interacts with(1)	2
Tat	6923	interacts with(2)	2
Tat	7514	interacts with(2)	2
Tat	8178	complexes with(1)/interacts with(1)	2
Tat	8289	binds(1)/interacts with(1)	2
Tat	8295	associates with(1)/interacts with(1)	2
Tat	8337	binds(1)/interacts with(1)	2
Tat	8338	binds(1)/interacts with(1)	2
Tat	8349	binds(1)/interacts with(1)	2
Tat	9672	binds(2)	2
Tat	10000	interacts with(2)	2
Tat	10524	binds(1)/complexes with(1)	2
Tat	10915	associates with(2)	2
Tat	22938	associates with(2)	2
Tat	23411	binds(1)/interacts with(1)	2
Tat	29969	binds(2)	2
Tat	55193	interacts with(2)	2
Tat	80854	binds(1)/methylated by(1)	2
Tat	729230	binds(1)/interacts with(1)	2
Vif	861	interacts with(2)	2
Vif	4217	binds(2)	2
Vif	4738	complexes with(2)	2
Vif	7917	interacts with(2)	2
Vif	10197	interacts with(2)	2
Vif	140564	interacts with(2)	2
Vpr	891	interacts with(2)	2
Vpr	983	interacts with(2)	2
Vpr	1778	interacts with(2)	2
Vpr	3303	binds(1)/interacts with(1)	2
Vpr	5478	interacts with(1)/isomerized by(1)	2
Vpr	5566	interacts with(1)/phosphorylated by(1)	2
Vpr	5931	complexes with(1)/interacts with(1)	2
Vpr	5971	interacts with(2)	2
Vpr	6667	interacts with(2)	2
Vpr	7157	interacts with(2)	2
Vpr	7189	interacts with(2)	2
Vpr	7416	interacts with(2)	2
Vpr	7465	binds(1)/interacts with(1)	2
Vpr	7533	binds(1)/complexes with(1)	2
Vpr	8450	complexes with(1)/interacts with(1)	2
Vpr	8519	interacts with(2)	2
Vpr	8520	complexes with(1)/interacts with(1)	2
Vpr	10971	binds(1)/interacts with(1)	2
Vpr	10992	binds(1)/interacts with(1)	2
Vpr	11097	binds(1)/interacts with(1)	2
Vpr	51366	complexes with(1)/interacts with(1)	2
Vpr	146956	complexes with(1)/interacts with(1)	2
Vpu	164	interacts with(2)	2
Vpu	1173	interacts with(2)	2
Vpu	1174	binds(1)/interacts with(1)	2
Vpu	1457	phosphorylated by(2)	2
Vpu	1459	phosphorylated by(2)	2
Vpu	3661	complexes with(1)/interacts with(1)	2
Vpu	3777	interacts with(2)	2
Vpu	8907	binds(1)/interacts with(1)	2
Vpu	9146	interacts with(2)	2
Vpu	23291	interacts with(2)	2
Vpu	81539	binds(1)/ubiquitinates(1)	2
Vpu	114836	binds(1)/interacts with(1)	2
Asp	3105	binds(1)	1
Asp	3106	binds(1)	1
Asp	4790	interacts with(1)	1
Asp	7391	interacts with(1)	1
Asp	81631	interacts with(1)	1
capsid	308	associates with(1)	1
capsid	509	interacts with(1)	1
capsid	547	interacts with(1)	1
capsid	915	interacts with(1)	1
capsid	952	associates with(1)	1
capsid	1155	interacts with(1)	1
capsid	1234	interacts with(1)	1
capsid	1350	interacts with(1)	1
capsid	1471	interacts with(1)	1
capsid	2332	associates with(1)	1
capsid	2817	interacts with(1)	1
capsid	3064	interacts with(1)	1
capsid	3105	interacts with(1)	1
capsid	3106	interacts with(1)	1
capsid	3439	interacts with(1)	1
capsid	3576	binds(1)	1
capsid	3661	interacts with(1)	1
capsid	3843	interacts with(1)	1
capsid	4065	interacts with(1)	1
capsid	4130	interacts with(1)	1
capsid	4502	interacts with(1)	1
capsid	4513	interacts with(1)	1
capsid	4536	interacts with(1)	1
capsid	4739	interacts with(1)	1
capsid	4790	interacts with(1)	1
capsid	4928	binds(1)	1
capsid	5093	interacts with(1)	1
capsid	5300	interacts with(1)	1
capsid	5329	interacts with(1)	1
capsid	5446	interacts with(1)	1
capsid	5525	interacts with(1)	1
capsid	5566	phosphorylated by(1)	1
capsid	5567	phosphorylated by(1)	1
capsid	5568	phosphorylated by(1)	1
capsid	5594	phosphorylated by(1)	1
capsid	5610	interacts with(1)	1
capsid	5930	interacts with(1)	1
capsid	6018	interacts with(1)	1
capsid	6614	interacts with(1)	1
capsid	6711	associates with(1)	1
capsid	6717	interacts with(1)	1
capsid	6737	binds(1)	1
capsid	7040	interacts with(1)	1
capsid	7092	interacts with(1)	1
capsid	7132	interacts with(1)	1
capsid	7314	ubiquitinated by(1)	1
capsid	7316	ubiquitinated by(1)	1
capsid	7453	interacts with(1)	1
capsid	7536	interacts with(1)	1
capsid	7574	interacts with(1)	1
capsid	8519	interacts with(1)	1
capsid	8540	interacts with(1)	1
capsid	8655	interacts with(1)	1
capsid	9120	interacts with(1)	1
capsid	9187	interacts with(1)	1
capsid	9631	interacts with(1)	1
capsid	10105	interacts with(1)	1
capsid	10450	interacts with(1)	1
capsid	10537	ubiquitinated by(1)	1
capsid	10749	interacts with(1)	1
capsid	10942	interacts with(1)	1
capsid	10987	interacts with(1)	1
capsid	23095	interacts with(1)	1
capsid	25927	interacts with(1)	1
capsid	25939	associates with(1)	1
capsid	27075	interacts with(1)	1
capsid	51667	interacts with(1)	1
capsid	51703	interacts with(1)	1
capsid	53354	interacts with(1)	1
capsid	55201	interacts with(1)	1
capsid	57480	interacts with(1)	1
capsid	79814	interacts with(1)	1
capsid	84449	interacts with(1)	1
capsid	118987	binds(1)	1
capsid	126129	interacts with(1)	1
capsid	147179	interacts with(1)	1
capsid	148741	interacts with(1)	1
capsid	200316	interacts with(1)	1
Envelope surface glycoprotein gp120	47	complexes with(1)	1
Envelope surface glycoprotein gp120	58	interacts with(1)	1
Envelope surface glycoprotein gp120	59	interacts with(1)	1
Envelope surface glycoprotein gp120	70	interacts with(1)	1
Envelope surface glycoprotein gp120	71	interacts with(1)	1
Envelope surface glycoprotein gp120	72	interacts with(1)	1
Envelope surface glycoprotein gp120	103	complexes with(1)	1
Envelope surface glycoprotein gp120	174	interacts with(1)	1
Envelope surface glycoprotein gp120	292	complexes with(1)	1
Envelope surface glycoprotein gp120	302	interacts with(1)	1
Envelope surface glycoprotein gp120	348	interacts with(1)	1
Envelope surface glycoprotein gp120	378	complexes with(1)	1
Envelope surface glycoprotein gp120	381	complexes with(1)	1
Envelope surface glycoprotein gp120	382	complexes with(1)	1
Envelope surface glycoprotein gp120	387	interacts with(1)	1
Envelope surface glycoprotein gp120	400	complexes with(1)	1
Envelope surface glycoprotein gp120	462	binds(1)	1
Envelope surface glycoprotein gp120	476	complexes with(1)	1
Envelope surface glycoprotein gp120	498	complexes with(1)	1
Envelope surface glycoprotein gp120	509	complexes with(1)	1
Envelope surface glycoprotein gp120	539	complexes with(1)	1
Envelope surface glycoprotein gp120	598	interacts with(1)	1
Envelope surface glycoprotein gp120	627	interacts with(1)	1
Envelope surface glycoprotein gp120	735	binds(1)	1
Envelope surface glycoprotein gp120	790	complexes with(1)	1
Envelope surface glycoprotein gp120	811	interacts with(1)	1
Envelope surface glycoprotein gp120	813	interacts with(1)	1
Envelope surface glycoprotein gp120	914	interacts with(1)	1
Envelope surface glycoprotein gp120	939	interacts with(1)	1
Envelope surface glycoprotein gp120	940	interacts with(1)	1
Envelope surface glycoprotein gp120	965	interacts with(1)	1
Envelope surface glycoprotein gp120	988	complexes with(1)	1
Envelope surface glycoprotein gp120	1047	interacts with(1)	1
Envelope surface glycoprotein gp120	1072	interacts with(1)	1
Envelope surface glycoprotein gp120	1073	interacts with(1)	1
Envelope surface glycoprotein gp120	1134	binds(1)	1
Envelope surface glycoprotein gp120	1140	binds(1)	1
Envelope surface glycoprotein gp120	1141	binds(1)	1
Envelope surface glycoprotein gp120	1173	complexes with(1)	1
Envelope surface glycoprotein gp120	1176	complexes with(1)	1
Envelope surface glycoprotein gp120	1179	interacts with(1)	1
Envelope surface glycoprotein gp120	1213	complexes with(1)	1
Envelope surface glycoprotein gp120	1230	associates with(1)	1
Envelope surface glycoprotein gp120	1233	binds(1)	1
Envelope surface glycoprotein gp120	1238	binds(1)	1
Envelope surface glycoprotein gp120	1240	interacts with(1)	1
Envelope surface glycoprotein gp120	1268	interacts with(1)	1
Envelope surface glycoprotein gp120	1314	complexes with(1)	1
Envelope surface glycoprotein gp120	1366	interacts with(1)	1
Envelope surface glycoprotein gp120	1380	binds(1)	1
Envelope surface glycoprotein gp120	1509	modified by(1)	1
Envelope surface glycoprotein gp120	1510	processed by(1)	1
Envelope surface glycoprotein gp120	1524	associates with(1)	1
Envelope surface glycoprotein gp120	1571	interacts with(1)	1
Envelope surface glycoprotein gp120	1615	complexes with(1)	1
Envelope surface glycoprotein gp120	1650	complexes with(1)	1
Envelope surface glycoprotein gp120	1653	complexes with(1)	1
Envelope surface glycoprotein gp120	1654	complexes with(1)	1
Envelope surface glycoprotein gp120	1655	complexes with(1)	1
Envelope surface glycoprotein gp120	1656	interacts with(1)	1
Envelope surface glycoprotein gp120	1660	complexes with(1)	1
Envelope surface glycoprotein gp120	1665	complexes with(1)	1
Envelope surface glycoprotein gp120	1668	binds(1)	1
Envelope surface glycoprotein gp120	1669	binds(1)	1
Envelope surface glycoprotein gp120	1673	binds(1)	1
Envelope surface glycoprotein gp120	1717	complexes with(1)	1
Envelope surface glycoprotein gp120	1785	complexes with(1)	1
Envelope surface glycoprotein gp120	1861	interacts with(1)	1
Envelope surface glycoprotein gp120	1915	complexes with(1)	1
Envelope surface glycoprotein gp120	1936	complexes with(1)	1
Envelope surface glycoprotein gp120	1937	complexes with(1)	1
Envelope surface glycoprotein gp120	1973	complexes with(1)	1
Envelope surface glycoprotein gp120	1994	complexes with(1)	1
Envelope surface glycoprotein gp120	2023	complexes with(1)	1
Envelope surface glycoprotein gp120	2058	complexes with(1)	1
Envelope surface glycoprotein gp120	2099	interacts with(1)	1
Envelope surface glycoprotein gp120	2100	interacts with(1)	1
Envelope surface glycoprotein gp120	2109	complexes with(1)	1
Envelope surface glycoprotein gp120	2181	complexes with(1)	1
Envelope surface glycoprotein gp120	2194	complexes with(1)	1
Envelope surface glycoprotein gp120	2202	interacts with(1)	1
Envelope surface glycoprotein gp120	2209	binds(1)	1
Envelope surface glycoprotein gp120	2210	binds(1)	1
Envelope surface glycoprotein gp120	2212	binds(1)	1
Envelope surface glycoprotein gp120	2213	binds(1)	1
Envelope surface glycoprotein gp120	2214	binds(1)	1
Envelope surface glycoprotein gp120	2215	binds(1)	1
Envelope surface glycoprotein gp120	2220	interacts with(1)	1
Envelope surface glycoprotein gp120	2247	interacts with(1)	1
Envelope surface glycoprotein gp120	2280	binds(1)	1
Envelope surface glycoprotein gp120	2317	binds(1)	1
Envelope surface glycoprotein gp120	2318	binds(1)	1
Envelope surface glycoprotein gp120	2353	interacts with(1)	1
Envelope surface glycoprotein gp120	2358	interacts with(1)	1
Envelope surface glycoprotein gp120	2597	complexes with(1)	1
Envelope surface glycoprotein gp120	2670	interacts with(1)	1
Envelope surface glycoprotein gp120	2825	interacts with(1)	1
Envelope surface glycoprotein gp120	2838	interacts with(1)	1
Envelope surface glycoprotein gp120	2932	interacts with(1)	1
Envelope surface glycoprotein gp120	3091	interacts with(1)	1
Envelope surface glycoprotein gp120	3108	interacts with(1)	1
Envelope surface glycoprotein gp120	3109	interacts with(1)	1
Envelope surface glycoprotein gp120	3111	interacts with(1)	1
Envelope surface glycoprotein gp120	3112	interacts with(1)	1
Envelope surface glycoprotein gp120	3113	interacts with(1)	1
Envelope surface glycoprotein gp120	3115	interacts with(1)	1
Envelope surface glycoprotein gp120	3117	interacts with(1)	1
Envelope surface glycoprotein gp120	3118	interacts with(1)	1
Envelope surface glycoprotein gp120	3119	interacts with(1)	1
Envelope surface glycoprotein gp120	3120	interacts with(1)	1
Envelope surface glycoprotein gp120	3178	complexes with(1)	1
Envelope surface glycoprotein gp120	3181	complexes with(1)	1
Envelope surface glycoprotein gp120	3182	complexes with(1)	1
Envelope surface glycoprotein gp120	3183	complexes with(1)	1
Envelope surface glycoprotein gp120	3184	complexes with(1)	1
Envelope surface glycoprotein gp120	3185	complexes with(1)	1
Envelope surface glycoprotein gp120	3187	complexes with(1)	1
Envelope surface glycoprotein gp120	3188	complexes with(1)	1
Envelope surface glycoprotein gp120	3189	complexes with(1)	1
Envelope surface glycoprotein gp120	3190	complexes with(1)	1
Envelope surface glycoprotein gp120	3192	complexes with(1)	1
Envelope surface glycoprotein gp120	3295	complexes with(1)	1
Envelope surface glycoprotein gp120	3303	complexes with(1)	1
Envelope surface glycoprotein gp120	3304	complexes with(1)	1
Envelope surface glycoprotein gp120	3305	complexes with(1)	1
Envelope surface glycoprotein gp120	3309	complexes with(1)	1
Envelope surface glycoprotein gp120	3310	interacts with(1)	1
Envelope surface glycoprotein gp120	3312	complexes with(1)	1
Envelope surface glycoprotein gp120	3313	complexes with(1)	1
Envelope surface glycoprotein gp120	3329	complexes with(1)	1
Envelope surface glycoprotein gp120	3376	complexes with(1)	1
Envelope surface glycoprotein gp120	3385	interacts with(1)	1
Envelope surface glycoprotein gp120	3419	complexes with(1)	1
Envelope surface glycoprotein gp120	3439	interacts with(1)	1
Envelope surface glycoprotein gp120	3440	interacts with(1)	1
Envelope surface glycoprotein gp120	3441	interacts with(1)	1
Envelope surface glycoprotein gp120	3442	interacts with(1)	1
Envelope surface glycoprotein gp120	3443	interacts with(1)	1
Envelope surface glycoprotein gp120	3444	interacts with(1)	1
Envelope surface glycoprotein gp120	3445	interacts with(1)	1
Envelope surface glycoprotein gp120	3446	interacts with(1)	1
Envelope surface glycoprotein gp120	3447	interacts with(1)	1
Envelope surface glycoprotein gp120	3448	interacts with(1)	1
Envelope surface glycoprotein gp120	3449	interacts with(1)	1
Envelope surface glycoprotein gp120	3451	interacts with(1)	1
Envelope surface glycoprotein gp120	3452	interacts with(1)	1
Envelope surface glycoprotein gp120	3552	interacts with(1)	1
Envelope surface glycoprotein gp120	3558	interacts with(1)	1
Envelope surface glycoprotein gp120	3565	interacts with(1)	1
Envelope surface glycoprotein gp120	3574	interacts with(1)	1
Envelope surface glycoprotein gp120	3603	interacts with(1)	1
Envelope surface glycoprotein gp120	3608	complexes with(1)	1
Envelope surface glycoprotein gp120	3609	complexes with(1)	1
Envelope surface glycoprotein gp120	3646	complexes with(1)	1
Envelope surface glycoprotein gp120	3678	interacts with(1)	1
Envelope surface glycoprotein gp120	3684	interacts with(1)	1
Envelope surface glycoprotein gp120	3687	interacts with(1)	1
Envelope surface glycoprotein gp120	3688	interacts with(1)	1
Envelope surface glycoprotein gp120	3690	interacts with(1)	1
Envelope surface glycoprotein gp120	3693	interacts with(1)	1
Envelope surface glycoprotein gp120	3694	interacts with(1)	1
Envelope surface glycoprotein gp120	3725	interacts with(1)	1
Envelope surface glycoprotein gp120	3778	interacts with(1)	1
Envelope surface glycoprotein gp120	3780	interacts with(1)	1
Envelope surface glycoprotein gp120	3781	interacts with(1)	1
Envelope surface glycoprotein gp120	3782	interacts with(1)	1
Envelope surface glycoprotein gp120	3783	interacts with(1)	1
Envelope surface glycoprotein gp120	3837	complexes with(1)	1
Envelope surface glycoprotein gp120	3939	complexes with(1)	1
Envelope surface glycoprotein gp120	3945	complexes with(1)	1
Envelope surface glycoprotein gp120	3949	interacts with(1)	1
Envelope surface glycoprotein gp120	3976	interacts with(1)	1
Envelope surface glycoprotein gp120	3984	interacts with(1)	1
Envelope surface glycoprotein gp120	3985	interacts with(1)	1
Envelope surface glycoprotein gp120	4057	binds(1)	1
Envelope surface glycoprotein gp120	4069	complexes with(1)	1
Envelope surface glycoprotein gp120	4076	complexes with(1)	1
Envelope surface glycoprotein gp120	4092	interacts with(1)	1
Envelope surface glycoprotein gp120	4099	binds(1)	1
Envelope surface glycoprotein gp120	4176	complexes with(1)	1
Envelope surface glycoprotein gp120	4218	complexes with(1)	1
Envelope surface glycoprotein gp120	4296	interacts with(1)	1
Envelope surface glycoprotein gp120	4312	interacts with(1)	1
Envelope surface glycoprotein gp120	4314	interacts with(1)	1
Envelope surface glycoprotein gp120	4318	interacts with(1)	1
Envelope surface glycoprotein gp120	4343	complexes with(1)	1
Envelope surface glycoprotein gp120	4478	binds(1)	1
Envelope surface glycoprotein gp120	4670	complexes with(1)	1
Envelope surface glycoprotein gp120	4691	complexes with(1)	1
Envelope surface glycoprotein gp120	4733	complexes with(1)	1
Envelope surface glycoprotein gp120	4841	complexes with(1)	1
Envelope surface glycoprotein gp120	4842	interacts with(1)	1
Envelope surface glycoprotein gp120	4869	complexes with(1)	1
Envelope surface glycoprotein gp120	4904	complexes with(1)	1
Envelope surface glycoprotein gp120	4905	complexes with(1)	1
Envelope surface glycoprotein gp120	4942	complexes with(1)	1
Envelope surface glycoprotein gp120	4986	interacts with(1)	1
Envelope surface glycoprotein gp120	5004	binds(1)	1
Envelope surface glycoprotein gp120	5005	binds(1)	1
Envelope surface glycoprotein gp120	5023	interacts with(1)	1
Envelope surface glycoprotein gp120	5027	interacts with(1)	1
Envelope surface glycoprotein gp120	5093	complexes with(1)	1
Envelope surface glycoprotein gp120	5162	complexes with(1)	1
Envelope surface glycoprotein gp120	5245	complexes with(1)	1
Envelope surface glycoprotein gp120	5315	complexes with(1)	1
Envelope surface glycoprotein gp120	5358	complexes with(1)	1
Envelope surface glycoprotein gp120	5445	interacts with(1)	1
Envelope surface glycoprotein gp120	5573	interacts with(1)	1
